id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
10335,PL_OCGT,2050,5,3,4,2,0.0
10336,PL_OCGT,2050,5,5,6,3,0.0
10337,PL_OCGT,2050,5,7,8,4,0.0
10338,PL_OCGT,2050,5,9,10,5,0.0
10339,PL_OCGT,2050,5,11,12,6,0.0
10340,PL_OCGT,2050,5,13,14,7,0.0
10341,PL_OCGT,2050,5,15,16,8,0.0
10342,PL_OCGT,2050,5,17,18,9,0.0
10343,PL_OCGT,2050,5,19,20,10,0.0
10344,PL_OCGT,2050,5,21,22,11,0.0
10345,PL_OCGT,2050,5,23,24,12,0.0
10346,PL_OCGT,2050,6,3,4,2,0.0
10347,PL_OCGT,2050,6,5,6,3,0.0
10348,PL_OCGT,2050,6,7,8,4,0.0
10349,PL_OCGT,2050,6,9,10,5,0.0
10350,PL_OCGT,2050,6,11,12,6,0.0
10351,PL_OCGT,2050,6,13,14,7,0.0
10352,PL_OCGT,2050,6,15,16,8,0.0
10353,PL_OCGT,2050,6,17,18,9,0.0
10354,PL_OCGT,2050,6,19,20,10,0.0
10355,PL_OCGT,2050,6,21,22,11,0.0
10356,PL_OCGT,2050,6,23,24,12,0.0
10357,PL_OCGT,2050,7,3,4,2,0.0
10358,PL_OCGT,2050,7,5,6,3,0.0
10359,PL_OCGT,2050,7,7,8,4,0.0
10360,PL_OCGT,2050,7,9,10,5,0.0
10361,PL_OCGT,2050,7,11,12,6,0.0
10362,PL_OCGT,2050,7,13,14,7,0.0
10363,PL_OCGT,2050,7,15,16,8,0.0
10364,PL_OCGT,2050,7,17,18,9,0.0
10365,PL_OCGT,2050,7,19,20,10,0.0
10366,PL_OCGT,2050,7,21,22,11,0.0
10367,PL_OCGT,2050,7,23,24,12,0.0
10368,PL_OCGT,2050,8,3,4,2,0.0
10369,PL_OCGT,2050,8,5,6,3,0.0
10370,PL_OCGT,2050,8,7,8,4,0.0
10371,PL_OCGT,2050,8,9,10,5,0.0
10372,PL_OCGT,2050,8,11,12,6,0.0
10373,PL_OCGT,2050,8,13,14,7,0.0
10374,PL_OCGT,2050,8,15,16,8,0.0
10375,PL_OCGT,2050,8,17,18,9,0.0
10376,PL_OCGT,2050,8,19,20,10,0.0
10377,PL_OCGT,2050,8,21,22,11,0.0
10378,PL_OCGT,2050,8,23,24,12,0.0
10379,PL_OCGT,2050,9,3,4,2,0.0
10380,PL_OCGT,2050,9,5,6,3,0.0
10381,PL_OCGT,2050,9,7,8,4,0.0
10382,PL_OCGT,2050,9,9,10,5,0.0
10383,PL_OCGT,2050,9,11,12,6,0.0
10384,PL_OCGT,2050,9,13,14,7,0.0
10385,PL_OCGT,2050,9,15,16,8,0.0
10386,PL_OCGT,2050,9,17,18,9,0.0
10387,PL_OCGT,2050,9,19,20,10,0.0
10388,PL_OCGT,2050,9,21,22,11,0.0
10389,PL_OCGT,2050,9,23,24,12,0.0
10390,PL_OCGT,2050,10,3,4,2,0.0
10391,PL_OCGT,2050,10,5,6,3,0.0
10392,PL_OCGT,2050,10,7,8,4,0.0
10393,PL_OCGT,2050,10,9,10,5,0.0
10394,PL_OCGT,2050,10,11,12,6,0.0
10395,PL_OCGT,2050,10,13,14,7,0.0
10396,PL_OCGT,2050,10,15,16,8,0.0
10397,PL_OCGT,2050,10,17,18,9,0.0
10398,PL_OCGT,2050,10,19,20,10,0.0
10399,PL_OCGT,2050,10,21,22,11,0.0
10400,PL_OCGT,2050,10,23,24,12,0.0
10401,PT_CCGT,2050,1,5,8,2,0.0
10402,PT_CCGT,2050,1,9,12,3,0.0
10403,PT_CCGT,2050,1,13,16,4,0.0
10404,PT_CCGT,2050,1,17,20,5,0.0
10405,PT_CCGT,2050,1,21,24,6,0.0
10406,PT_CCGT,2050,2,5,8,2,0.0
10407,PT_CCGT,2050,2,9,12,3,0.0
10408,PT_CCGT,2050,2,13,16,4,0.0
10409,PT_CCGT,2050,2,17,20,5,0.0
10410,PT_CCGT,2050,2,21,24,6,0.0
10411,PT_CCGT,2050,3,5,8,2,0.0
10412,PT_CCGT,2050,3,9,12,3,0.0
10413,PT_CCGT,2050,3,13,16,4,0.0
10414,PT_CCGT,2050,3,17,20,5,0.0
10415,PT_CCGT,2050,3,21,24,6,0.0
10416,PT_CCGT,2050,4,5,8,2,0.0
10417,PT_CCGT,2050,4,9,12,3,0.0
10418,PT_CCGT,2050,4,13,16,4,0.0
10419,PT_CCGT,2050,4,17,20,5,0.0
10420,PT_CCGT,2050,4,21,24,6,0.0
10421,PT_CCGT,2050,5,5,8,2,0.0
10422,PT_CCGT,2050,5,9,12,3,0.0
10423,PT_CCGT,2050,5,13,16,4,0.0
10424,PT_CCGT,2050,5,17,20,5,0.0
10425,PT_CCGT,2050,5,21,24,6,0.0
10426,PT_CCGT,2050,6,5,8,2,0.0
10427,PT_CCGT,2050,6,9,12,3,0.0
10428,PT_CCGT,2050,6,13,16,4,0.0
10429,PT_CCGT,2050,6,17,20,5,0.0
10430,PT_CCGT,2050,6,21,24,6,0.0
10431,PT_CCGT,2050,7,5,8,2,0.0
10432,PT_CCGT,2050,7,9,12,3,0.0
10433,PT_CCGT,2050,7,13,16,4,0.0
10434,PT_CCGT,2050,7,17,20,5,0.0
10435,PT_CCGT,2050,7,21,24,6,0.0
10436,PT_CCGT,2050,8,5,8,2,0.0
10437,PT_CCGT,2050,8,9,12,3,0.0
10438,PT_CCGT,2050,8,13,16,4,0.0
10439,PT_CCGT,2050,8,17,20,5,0.0
10440,PT_CCGT,2050,8,21,24,6,0.0
10441,PT_CCGT,2050,9,5,8,2,0.0
10442,PT_CCGT,2050,9,9,12,3,0.0
10443,PT_CCGT,2050,9,13,16,4,0.0
10444,PT_CCGT,2050,9,17,20,5,0.0
10445,PT_CCGT,2050,9,21,24,6,0.0
10446,PT_CCGT,2050,10,5,8,2,0.0
10447,PT_CCGT,2050,10,9,12,3,0.0
10448,PT_CCGT,2050,10,13,16,4,0.0
10449,PT_CCGT,2050,10,17,20,5,0.0
10450,PT_CCGT,2050,10,21,24,6,0.0
10451,PT_Coal,2050,1,5,8,2,0.0
10452,PT_Coal,2050,1,9,12,3,0.0
10453,PT_Coal,2050,1,13,16,4,0.0
10454,PT_Coal,2050,1,17,20,5,0.0
10455,PT_Coal,2050,1,21,24,6,0.0
10456,PT_Coal,2050,2,5,8,2,0.0
10457,PT_Coal,2050,2,9,12,3,0.0
10458,PT_Coal,2050,2,13,16,4,0.0
10459,PT_Coal,2050,2,17,20,5,0.0
10460,PT_Coal,2050,2,21,24,6,0.0
10461,PT_Coal,2050,3,5,8,2,0.0
10462,PT_Coal,2050,3,9,12,3,0.0
10463,PT_Coal,2050,3,13,16,4,0.0
10464,PT_Coal,2050,3,17,20,5,0.0
10465,PT_Coal,2050,3,21,24,6,0.0
10466,PT_Coal,2050,4,5,8,2,0.0
10467,PT_Coal,2050,4,9,12,3,0.0
